KuNr;Name;Vorname 1;Vorname 2;Geb.Dat.;Geb.Ort;Strasse;HNr;PLZ;Ort;Tel priv;Tel Arbeit;Mobil;Fax;eMail 1;eMail 2;Prio Kontakt;FamStand;Anz Kinder;Anz Kinder MV;Ehepart MV
K00017;Schäuble;Wolfgang;;19.06.1961;Hofgeismar;Kreuzberger Str.;3;63504;Mittelstadt;06355/88703;06364/10683;0175/579017;;Schäuble@dhbw.tst;Wolfgang@dhbw.vgl;P;geschieden;2;1;N
K00016;Steinmeier;Frank-Walter;;09.06.1961;Köln;Im Gewann;2;63504;Mittelstadt;06355/28964;06364/53343;;;Steinmeier@dhbw.tst;Frank-Walter@dhbw.vgl;O;verwitwet;2;1;N
K00015;Merkel;Angela;;30.05.1961;Paris;Berliner Strasse;1;63504;Mittelstadt;06355/96974;06364/79231;;;Merkel@dhbw.tst;Angela@dhbw.vgl;N;eingetr. Partnerschaft;0;0;J
K00014;Meier 02;Markus;Paul;20.05.1961;Berlin;Musterstrasse;19;63504;Mittelstadt;06355/22243;06364/81835;;;Meier02@dhbw.tst;Markus@dhbw.vgl;M;eingetr. Partnerschaft;1;0;N
K00013;Meyer 02;Carsten;;10.05.1961;Würzburg;Kurze Strasse;83;63503;Altstadt;06354/84640;06363/32157;;;Meyer02@dhbw.tst;Carsten@dhbw.vgl;L;ledig;0;0;N
K00012;Maier 02;Ernst;;30.04.1961;New York;Lange Strasse;91;63503;Altstadt;06354/13121;06363/51557;;06354/20733;Maier02@dhbw.tst;Ernst@dhbw.vgl;G;verwitwet;2;1;N
K00011;Müller 02;Sabine;Clara;20.04.1961;Marburg;Kreuzweg;80;63503;Altstadt;06354/28501;06363/46360;;;Müller02@dhbw.tst;Sabine@dhbw.vgl;P;verheiratet;3;2;N
K00010;Dietrich 01;Alfred;Herrmann;10.04.1961;Hamburg;Im Tal;14;63502;Neustadt;06353/74250;06362/78683;;;Dietrich01@dhbw.tst;Alfred@dhbw.vgl;O;ledig;0;0;N
K00009;Otto 01;Martina;;31.03.1961;Leipzig;Auf der Höhe;84;63502;Neustadt;06353/86811;06362/44816;;;Otto01@dhbw.tst;Martina@dhbw.vgl;N;ledig;0;0;N
K00008;Zimmermann 01;Karl-Heinz;;21.03.1961;London;Severinstr.;50;63502;Neustadt;06353/35028;06362/75177;;;Zimmermann01@dhbw.tst;Karl-Heinz@dhbw.vgl;M;eingetr. Partnerschaft;1;0;N
K00007;Zöller 01;Hugo;;11.03.1961;Stuttgart;Kanzlerweg;59;63502;Neustadt;06353/35770;06362/75307;;;Zöller01@dhbw.tst;Hugo@dhbw.vgl;L;ledig;2;1;N
K00006;Musterfrau 01;Norbert;;01.03.1961;Köln;Kreuzberger Str.;36;63502;Neustadt;06353/23665;06362/39573;0175/579006;06353/70631;Musterfrau01@dhbw.tst;Norbert@dhbw.vgl;G;verwitwet;2;1;N
K00005;Mueller 01;Jürgen;Egon;19.02.1961;Basel;Im Gewann;70;63501;Versicherungsstadt;06352/26989;06361/31949;0175/579005;;Mueller01@dhbw.tst;Jürgen@dhbw.vgl;P;verwitwet;2;1;N
K00004;Meier 01;Karla;;09.02.1961;Rostock;Berliner Strasse;67;63501;Versicherungsstadt;06352/82144;06361/34227;0175/579004;;Meier01@dhbw.tst;Karla@dhbw.vgl;O;ledig;1;0;N
K00003;Meyer 01;Toni;;30.01.1961;Hanau;Musterstrasse;0;63500;Musterdorff;06351/6062;06360/72884;0175/579003;;Meyer01@dhbw.tst;Toni@dhbw.vgl;N;eingetr. Partnerschaft;0;0;J
K00002;Maier 01;Kristijan;;20.01.1961;Mainz;Kurze Strasse;70;63500;Musterdorff;06351/98548;06360/8832;0175/579002;;Maier01@dhbw.tst;Kristijan@dhbw.vgl;M;geschieden;2;1;N
K00001;Müller 01;Andreas;;10.01.1961;Stralsund;Lange Strasse;75;63500;Musterdorff;06351/11217;06360/613;0175/579001;;Müller01@dhbw.tst;Andreas@dhbw.vgl;L;ledig;0;0;N
